ac_number,constituency,region,reserved,party_2026,candidate_2026,winner_votes_2026,total_votes_2026,margin_2026,vote_share_2026,party_2021,candidate_2021,winner_votes_2021,total_votes_2021,margin_2021,vote_share_2021,turnout_2021,seat_status,vote_share_bucket
187,Manamadurai,South,SC,TVK,ELANGOVAN.D,69971,208643,1208,33.5,DMK,"Tamilarasi A.",89364,203061,14091,44.0,72.05,Flipped,"Below 35%"
188,Melur,South,GEN,INC,P.VISWANATHAN,60080,190726,2724,31.5,AIADMK,"PERIYAPULLAN @ SELVAM  P.",83344,182782,35162,45.6,74.23,Flipped,"Below 35%"
189,"Madurai East",South,GEN,TVK,"KARTHIKEYAN S",118777,271566,16547,43.7,DMK,"MOORTHY P",122729,237892,49604,51.6,71.34,Flipped,"35% to 50%"
190,Sholavandan,South,SC,TVK,KARUPPAIAH.M.V,63907,189080,2678,33.8,DMK,"VENKATESAN A",84240,175361,17045,48.0,79.49,Flipped,"Below 35%"
191,"Madurai North",South,GEN,TVK,A.KALLANAI,72853,161801,18038,45.0,DMK,"THALAPATHI G",73010,156556,22916,46.6,63.6,Flipped,"35% to 50%"
192,"Madurai South",South,GEN,TVK,M.M.GOPISON,62415,141503,21529,44.1,DMK,BOOMINATHAN.M,62812,147833,6515,42.5,63.8,Flipped,"35% to 50%"
193,"Madurai Central",South,GEN,TVK,"MADHAR BADHURUDEEN",63414,148586,19128,42.7,DMK,"PALANIVEL THIAGA RAJAN",73205,149430,34176,49.0,61.03,Flipped,"35% to 50%"
194,"Madurai West",South,GEN,TVK,"THANGAPANDI SR",88250,216403,11931,40.8,AIADMK,"RAJU. K",83883,201694,9121,41.6,65.12,Flipped,"35% to 50%"
195,Thiruparankundram,South,GEN,TVK,"NIRMALKUMAR. R.",114316,255466,41553,44.7,AIADMK,"RAJANCHELLAPPA, V.V.",103683,235849,29489,44.0,72.73,Flipped,"35% to 50%"
196,Thirumangalam,South,GEN,DMK,MANIMARAN.M,88291,230980,23807,38.2,AIADMK,"UDHAYAKUMAR R B",100338,220495,14087,45.5,78.13,Flipped,"35% to 50%"
197,Usilampatti,South,GEN,TVK,"VIJAY. M",65743,224048,1805,29.3,AIADMK,"AYYAPPAN P",71255,212513,7477,33.5,73.82,Flipped,"Below 35%"
198,Andipatti,South,GEN,DMK,MAHARAJAN.A,74324,217329,9554,34.2,DMK,A.MAHARAJAN,93541,209540,8538,44.6,74.85,Retained,"Below 35%"
199,Periyakulam,South,SC,TVK,"SABARI IYNGARAN G.",85656,211209,19321,40.6,DMK,K.S.SARAVANAKUMAAR,92251,201797,21321,45.7,69.94,Flipped,"35% to 50%"
200,Bodinayakanur,South,GEN,DMK,PANNEERSELVAM.O,85206,220628,6805,38.6,AIADMK,O.PANNEERSELVAM,100050,214795,11021,46.6,76.3,Flipped,"35% to 50%"
201,Cumbum,South,GEN,TVK,"JEGANATHMISHRA PLA",85394,210574,751,40.6,DMK,N.Ramakrishnan,104800,202275,42413,51.8,69.51,Flipped,"35% to 50%"
202,Rajapalayam,South,GEN,TVK,"JEGADESHWARI. K",65548,183020,10605,35.8,DMK,"THANGAPANDIAN S.",74158,178708,3898,41.5,73.89,Flipped,"35% to 50%"
203,Srivilliputhur,South,SC,TVK,KARTHIK.A,65653,193471,8581,33.9,AIADMK,"MANRAJ, E.M.",70475,185039,12738,38.1,73.14,Flipped,"Below 35%"
204,Sattur,South,GEN,DMK,"KADARKARAIRAJ. A",62060,198734,5989,31.2,DMK,"RAGHURAMAN,  A.R.R.",74174,191783,11179,38.7,75.17,Retained,"Below 35%"
205,Sivakasi,South,GEN,TVK,"KEERTHANA S",68709,193517,11670,35.5,INC,Ashokan.G,78947,185047,17319,42.7,70.16,Flipped,"35% to 50%"
206,Virudhunagar,South,GEN,TVK,"SELVAM P",63653,167832,9391,37.9,DMK,"SEENIVASAN A.R.R",73297,161717,21339,45.3,71.27,Flipped,"35% to 50%"
207,Aruppukkottai,South,GEN,DMK,"RAMACHANDRAN. K.K.S.S.R",65104,178413,4943,36.5,DMK,K.K.S.S.R.RAMACHANDRAN,91040,171201,39034,53.2,75.6,Retained,"35% to 50%"
208,Tiruchuli,South,GEN,DMK,"THANGAM THENARASU",75085,181250,13485,41.4,DMK,"THANGAM THENARASU",102225,172811,60992,59.2,77.46,Retained,"35% to 50%"
209,Paramakudi,South,SC,DMK,"ADVOCATE. KATHIRAVAN. K.K",59161,189753,3548,31.2,DMK,"MURUGESAN S",84864,182158,13285,46.6,70.59,Retained,"Below 35%"
210,Tiruvadanai,South,GEN,TVK,RAJEEV,69551,220278,2513,31.6,INC,KARUMANICKAM,79364,201815,13852,39.3,68.72,Flipped,"Below 35%"
211,Ramanathapuram,South,GEN,DMK,"KATHARBATCHA MUTHURAMALINGAM",89137,237576,12459,37.5,DMK,"KATHARBATCHA MUTHURAMALINGAM",111082,214098,50479,51.9,68.81,Retained,"35% to 50%"
212,Mudhukulathur,South,GEN,DMK,R.S.RAJAKANNAPPAN,68003,231373,16598,29.4,DMK,R.S.RAJAKANNAPPAN,101901,221213,20721,46.1,70.29,Retained,"Below 35%"
213,Vilathikulam,South,GEN,DMK,"MARKANDAYAN G V",58395,174814,8228,33.4,DMK,"MARKANDAYAN V",90348,167169,38549,54.0,76.52,Retained,"Below 35%"
214,Thoothukkudi,South,GEN,TVK,SRINATH,100536,204712,37731,49.1,DMK,"P.Geetha Jeevan",92314,188407,50310,49.0,65.07,Flipped,"35% to 50%"
215,Tiruchendur,South,GEN,DMK,"ANITHA R. RADHAKRISHNAN",72723,186050,5872,39.1,DMK,"Anitha R. Radhakrishnan",88274,174536,25263,50.6,70.04,Retained,"35% to 50%"
216,Srivaikuntam,South,GEN,TVK,"SARAVANAN. G",58814,176421,1186,33.3,INC,"Amirtharaj .S",76843,164386,17372,46.7,72.34,Flipped,"Below 35%"
217,Ottapidaram,South,SC,TVK,"P .MATHANRAJA",81625,196117,29083,41.6,DMK,"SHUNMUGAIAH C",73110,177840,8510,41.1,69.82,Flipped,"35% to 50%"
218,Kovilpatti,South,GEN,DMK,KARUNANITHI.K,61643,194232,843,31.7,AIADMK,"KADAMBUR RAJU",68556,180928,12403,37.9,67.43,Flipped,"Below 35%"
